PROJ_NAME,TRACK_GROUP,TRACK,DOMAIN,TASK,,,
Ann Taylor,UNIX DOMAIN,Unix,"Tools, Optibot, Python & Misc",Configure and Monitor Bonding/Bridge/Bridge Bonding - (3 predefined parameters ),,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Analysis of performance utilization  - based on disk and cpu usage ,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,scan LUNs ( local and Storage disk) details,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,List Disk details and their atrribs (UUID) ,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,List HBA and their ports,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Persisten naming for SAN Lun - On systems not using multipath ,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Enable and diable multipath,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Sendmail Client configuration,,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Listing all the Host Bus Adapters including iSCSI,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Zone Configuration backup,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,Powershell,SRM LUN validation,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Performance report for 3PAR,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Switch port health report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage space utilization report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Switch port utilization report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Host and LUN ID report from 3PAR,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage map update,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage inactive host report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Inactivie zone report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Serverwise space utilization report,,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",SAN switch port up down status,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Automatic DB startup after server restart for 12c DBs,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Automatic DB startup after server restart for 11g DBs,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Privilege Provisioning for DB Users,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",export of schemas,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",import of schemas,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check database status  ,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check listener status,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check log files for errors,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Tablespace  - monitors tablespace using the predefined db query,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Mount points where Oracle data files located,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Mount points where Oracle Home is located,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Generating AWR report,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Add/Modify/Delete DB link,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,"Maintenance of log files (Alert, Listener, Trace etc.)",,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Monitor blocking sessions,,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Monthly Audit SOX Report,,,
Ann Taylor,NETWORKS DOMAIN,Networks Data,"Tools, Optibot, Python & Misc",BGP state change alert,,,
Ann Taylor,NETWORKS DOMAIN,Networks Data,"Tools, Optibot, Python & Misc",EIGRP state change alert ,,,
